rank,class,scene_frequency,pct_of_scenes
1,wall,9406,91.36
2,floor,8801,85.49
3,chair,5872,57.04
4,table,4703,45.68
5,window,2858,27.76
6,door,2568,24.94
7,cabinet,1942,18.86
8,shelf,1689,16.41
9,desk,1500,14.57
10,box,1492,14.49
11,picture,1445,14.04
12,book,1433,13.92
13,paper,1382,13.42
14,lamp,1351,13.12
15,sofa,1306,12.69
16,ceiling,1298,12.61
17,pillow,1273,12.37
18,bed,1115,10.83
19,monitor,877,8.52
20,curtain,850,8.26
21,bottle,848,8.24
22,bag,804,7.81
23,mirror,732,7.11
24,counter,731,7.1
25,keyboard,684,6.64
26,light,623,6.05
27,cup,569,5.53
28,sign,535,5.2
29,sink,532,5.17
30,mouse,515,5.0
31,outlet,478,4.64
32,plant,469,4.56
33,dresser,463,4.5
34,trashcan,447,4.34
35,computer,435,4.23
36,whiteboard,430,4.18
37,blinds,396,3.85
38,towel,384,3.73
39,drawer,371,3.6
40,carpet,358,3.48
41,board,347,3.37
42,rug,323,3.14
43,clothes,316,3.07
44,person,315,3.06
45,printer,308,2.99
46,bowl,307,2.98
47,faucet,305,2.96
48,tv,304,2.95
49,stool,301,2.92
50,pillar,290,2.82
51,basket,282,2.74
52,laptop,271,2.63
53,toilet,267,2.59
54,poster,265,2.57
55,stand,263,2.55
56,blanket,256,2.49
57,glass,239,2.32
58,cloth,237,2.3
59,lightswitch,237,2.3
60,vase,231,2.24
61,plate,227,2.2
62,microwave,227,2.2
63,headboard,214,2.08
64,pipe,213,2.07
65,unknown,213,2.07
66,baseboard,212,2.06
67,painting,211,2.05
68,papers,209,2.03
69,garbage_bin,208,2.02
70,fridge,207,2.01
71,clock,201,1.95
72,speaker,200,1.94
73,telephone,200,1.94
74,bench,199,1.93
75,wire,196,1.9
76,floor_mat,191,1.86
77,nightstand,188,1.83
78,switch,181,1.76
79,jar,179,1.74
80,handle,176,1.71
81,rack,173,1.68
82,doorframe,169,1.64
83,column,166,1.61
84,bin,161,1.56
85,phone,161,1.56
86,stove,160,1.55
87,vent,157,1.53
88,container,156,1.52
89,frame,152,1.48
90,pricetag,149,1.45
91,electrical_outlet,146,1.42
92,doorway,145,1.41
93,night_stand,145,1.41
94,pen,144,1.4
95,tray,144,1.4
96,ottoman,143,1.39
97,cord,142,1.38
98,pot,142,1.38
99,screen,141,1.37
100,cpu,141,1.37
101,tag,141,1.37
102,toy,131,1.27
103,chalkboard,130,1.26
104,photo,129,1.25
105,waterbottle,127,1.23
106,electricaloutlet,127,1.23
107,heater,127,1.23
108,mattress,126,1.22
109,blackboard,124,1.2
110,backpack,123,1.19
111,oven,122,1.19
112,machine,120,1.17
113,firealarm,120,1.17
114,dustbin,119,1.16
115,bookcase,118,1.15
116,fan,118,1.15
117,eraser,116,1.13
118,dishwasher,115,1.12
119,wood,111,1.08
120,switchboard,109,1.06
121,doorhandle,108,1.05
122,remote,107,1.04
123,television,105,1.02
124,thermostat,105,1.02
125,flowers,104,1.01
126,object,103,1.0
127,file,103,1.0
128,coffeetable,102,0.99
129,bathtub,102,0.99
130,shoe,100,0.97
131,magazine,100,0.97
132,garbagecan,100,0.97
133,pictureframe,99,0.96
134,windowsill,97,0.94
135,drain,97,0.94
136,recyclebin,95,0.92
137,mug,93,0.9
138,fireextinguisher,91,0.88
139,tabletop,90,0.87
140,podium,90,0.87
141,doorknob,89,0.86
142,mat,88,0.85
143,papertowel,88,0.85
144,refrigerator,87,0.85
145,bulletinboard,86,0.84
146,soap,86,0.84
147,mousepad,85,0.83
148,cable,84,0.82
149,marker,84,0.82
150,cardboardbox,83,0.81
151,bucket,81,0.79
152,notebook,80,0.78
153,drawers,80,0.78
154,closet,80,0.78
155,stairs,79,0.77
156,stapler,79,0.77
157,trashbin,78,0.76
158,toiletpaper,78,0.76
159,bedframe,77,0.75
160,dryeraseboard,76,0.74
161,alarm,76,0.74
162,wastebin,75,0.73
163,remote_control,75,0.73
164,partition,74,0.72
165,trash,74,0.72
166,cart,74,0.72
167,divider,72,0.7
168,endtable,72,0.7
169,washbasin,71,0.69
170,glasswindow,70,0.68
171,plasticbag,70,0.68
172,notice,70,0.68
173,airconditioner,69,0.67
174,binder,68,0.66
175,tableleg,68,0.66
176,tree,68,0.66
177,candlestick,68,0.66
178,sculpture,68,0.66
179,cubboard,67,0.65
180,suitcase,67,0.65
181,windowframe,66,0.64
182,projector,66,0.64
183,photoframe,65,0.63
184,stuffed_toy,65,0.63
185,doll,63,0.61
186,napkin,62,0.6
187,comforter,61,0.59
188,sheet,60,0.58
189,exitsign,59,0.57
190,flowerpot,59,0.57
191,desktop,58,0.56
192,files,58,0.56
193,purse,58,0.56
194,sidetable,58,0.56
195,slab,57,0.55
196,tap,57,0.55
197,railing,57,0.55
198,glassdoor,56,0.54
199,coat,56,0.54
200,toothbrush,55,0.53
201,jacket,54,0.52
202,flower,54,0.52
203,roof,53,0.51
204,powerstrip,53,0.51
205,noticeboard,53,0.51
206,candle,53,0.51
207,furniture,52,0.51
208,shirt,52,0.51
209,wardrobe,52,0.51
210,newspaper,51,0.5
211,folder,51,0.5
212,placemat,51,0.5
213,radiator,51,0.5
214,refridgerator,50,0.49
215,tape,49,0.48
216,wires,49,0.48
217,can,49,0.48
218,art,49,0.48
219,drying_rack,49,0.48
220,piano,49,0.48
221,banner,49,0.48
222,switchbox,48,0.47
223,coffeemaker,48,0.47
224,recyclingbin,48,0.47
225,plug,48,0.47
226,decoration,48,0.47
227,coffee_machine,48,0.47
228,covemolding,48,0.47
229,darkarea,47,0.46
230,moniter,47,0.46
231,tube,47,0.46
232,bedsheet,47,0.46
233,sponge,47,0.46
234,socket,47,0.46
235,tvstand,47,0.46
236,man,46,0.45
237,cover,46,0.45
238,officechair,46,0.45
239,tissuebox,46,0.45
240,toaster,46,0.45
241,umbrella,46,0.45
242,chairleg,46,0.45
243,wall_decoration,46,0.45
244,plant_pot,46,0.45
245,bedsidetable,46,0.45
246,soapdispenser,46,0.45
247,sticker,45,0.44
248,label,45,0.44
249,seat,45,0.44
250,panel,44,0.43
251,calendar,44,0.43
252,computermouse,44,0.43
253,towelrod,44,0.43
254,roundtable,44,0.43
255,chairback,43,0.42
256,brickwall,43,0.42
257,hat,42,0.41
258,lock,42,0.41
259,lid,42,0.41
260,computertower,42,0.41
261,pan,42,0.41
262,wastebasket,42,0.41
263,deskchair,42,0.41
264,walls,41,0.4
265,shoes,41,0.4
266,hanger,41,0.4
267,ladder,40,0.39
268,scanner,40,0.39
269,chest,40,0.39
270,fireplace,40,0.39
271,poweroutlet,40,0.39
272,device,39,0.38
273,cot,39,0.38
274,chandelier,39,0.38
275,handrail,39,0.38
276,piller,39,0.38
277,knob,38,0.37
278,shade,38,0.37
279,pencil,38,0.37
280,knife,38,0.37
281,bulletin_board,38,0.37
282,toilet_paper,38,0.37
283,pitcher,38,0.37
284,loveseat,38,0.37
285,headphones,37,0.36
286,computerscreen,37,0.36
287,shelving,37,0.36
288,coffeemug,37,0.36
289,cabinetdoor,37,0.36
290,corkboard,37,0.36
291,tile,37,0.36
292,tilefloor,37,0.36
293,cardboard,36,0.35
294,stereo,36,0.35
295,fire_place,36,0.35
296,shower_curtain,36,0.35
297,urinal,36,0.35
298,camera,35,0.34
299,step,35,0.34
300,vanity,35,0.34
301,tiles,35,0.34
302,walloutlet,35,0.34
303,celing,34,0.33
304,locker,34,0.33
305,coffeecup,34,0.33
306,ball,34,0.33
307,toothpaste,34,0.33
308,tub,34,0.33
309,cabin,33,0.32
310,paperbag,33,0.32
311,top,33,0.32
312,case,33,0.32
313,wallart,33,0.32
314,rollingchair,33,0.32
315,dress,33,0.32
316,stove_hood,33,0.32
317,coatrack,33,0.32
318,cords,32,0.31
319,washingmachine,32,0.31
320,lotion,32,0.31
321,electricalcord,32,0.31
322,teakettle,32,0.31
323,light_switch,32,0.31
324,cubiclewall,31,0.3
325,powercord,31,0.3
326,steps,31,0.3
327,tablecloth,31,0.3
328,matress,31,0.3
329,crib,31,0.3
330,rail,31,0.3
331,tissue,30,0.29
332,glasswall,30,0.29
333,lights,30,0.29
334,ceilinglight,30,0.29
335,basin,30,0.29
336,floormat,30,0.29
337,laundrybasket,30,0.29
338,display,30,0.29
339,staircase,30,0.29
340,wallhanging,30,0.29
341,bicycle,29,0.28
342,backsplash,29,0.28
343,jug,29,0.28
344,card,29,0.28
345,floorboard,29,0.28
346,flower_pot,29,0.28
347,cubicle,28,0.27
348,map,28,0.27
349,self,28,0.27
350,showercurtain,28,0.27
351,toiletpaperholder,28,0.27
352,bar,28,0.27
353,lampshade,28,0.27
354,lightfixture,27,0.26
355,projectorscreen,27,0.26
356,radio,27,0.26
357,remotecontrol,27,0.26
358,bedspread,27,0.26
359,flowervase,27,0.26
360,clothing,27,0.26
361,molding,27,0.26
362,papertoweldispenser,27,0.26
363,knife_rack,27,0.26
364,backwall,27,0.26
365,flyer,27,0.26
366,cd,26,0.25
367,walldecor,26,0.25
368,computertable,26,0.25
369,lighting,26,0.25
370,floormate,26,0.25
371,trim,26,0.25
