,chair,table,window,door,cabinet,shelf,desk,box,picture,book,paper,lamp,sofa,pillow,bed,monitor,curtain,bottle,bag,mirror,counter,keyboard,light,cup,sign
chair,0,3611,1884,1406,1000,937,1190,750,760,825,845,647,707,505,308,655,494,350,435,203,227,537,344,294,271
table,3611,0,1502,1123,731,743,360,648,647,678,701,577,813,498,249,426,392,314,346,189,163,327,298,257,225
window,1884,1502,0,682,589,464,454,393,405,384,421,341,449,318,235,305,332,235,244,130,211,213,210,176,162
door,1406,1123,682,0,589,425,344,382,374,343,352,234,318,209,175,201,155,196,235,171,193,133,199,112,189
cabinet,1000,731,589,589,0,419,302,471,471,364,430,232,210,168,117,230,139,355,280,157,517,160,157,240,109
shelf,937,743,464,425,419,0,284,449,376,555,351,243,240,242,170,189,143,228,190,101,118,130,177,157,137
desk,1190,360,454,344,302,284,0,287,207,312,365,183,83,118,116,401,132,112,115,56,28,326,102,106,63
box,750,648,393,382,471,449,287,0,343,443,462,238,131,227,217,212,120,305,273,98,147,161,100,148,88
picture,760,647,405,374,471,376,207,343,0,432,340,479,346,423,364,107,149,201,246,172,145,63,144,144,91
book,825,678,384,343,364,555,312,443,432,0,475,311,241,301,206,239,142,209,232,64,62,184,101,156,63
paper,845,701,421,352,430,351,365,462,340,475,0,215,178,177,112,320,113,243,239,52,125,252,113,178,72
lamp,647,577,341,234,232,243,183,238,479,311,215,0,339,598,551,90,237,116,132,273,33,56,102,67,106
sofa,707,813,449,318,210,240,83,131,346,241,178,339,0,479,103,50,153,49,108,110,29,27,101,74,89
pillow,505,498,318,209,168,242,118,227,423,301,177,598,479,0,644,41,235,93,132,225,15,27,92,66,118
bed,308,249,235,175,117,170,116,217,364,206,112,551,103,644,0,21,208,87,119,235,6,10,59,37,102
monitor,655,426,305,201,230,189,401,212,107,239,320,90,50,41,21,0,47,113,97,20,41,485,57,94,38
curtain,494,392,332,155,139,143,132,120,149,142,113,237,153,235,208,47,0,89,79,72,29,31,60,42,35
bottle,350,314,235,196,355,228,112,305,201,209,243,116,49,93,87,113,89,0,201,115,227,70,59,171,31
bag,435,346,244,235,280,190,115,273,246,232,239,132,108,132,119,97,79,201,0,53,146,59,57,103,22
mirror,203,189,130,171,157,101,56,98,172,64,52,273,110,225,235,20,72,115,53,0,103,3,52,47,64
counter,227,163,211,193,517,118,28,147,145,62,125,33,29,15,6,41,29,227,146,103,0,18,57,130,39
keyboard,537,327,213,133,160,130,326,161,63,184,252,56,27,27,10,485,31,70,59,3,18,0,37,75,31
light,344,298,210,199,157,177,102,100,144,101,113,102,101,92,59,57,60,59,57,52,57,37,0,47,82
cup,294,257,176,112,240,157,106,148,144,156,178,67,74,66,37,94,42,171,103,47,130,75,47,0,29
sign,271,225,162,189,109,137,63,88,91,63,72,106,89,118,102,38,35,31,22,64,39,31,82,29,0
