focal_class,cluster,n_scenes,pct_of_class,top_co_classes,silhouette,k
chair,1,1993,45.1,"table=1.00, sofa=0.06, cabinet=0.04",0.494,5
chair,2,252,5.7,"monitor=1.00, desk=0.98, keyboard=0.28",0.494,5
chair,3,890,20.2,"desk=1.00, table=0.10, shelf=0.09",0.494,5
chair,4,278,6.3,"shelf=1.00, table=0.70, box=0.13",0.494,5
chair,5,1003,22.7,"sofa=0.09, cabinet=0.07, pillow=0.05",0.494,5
table,1,129,4.3,"monitor=1.00, chair=0.97, keyboard=0.28",0.534,5
table,2,557,18.6,"box=0.11, shelf=0.11, book=0.06",0.534,5
table,3,1871,62.6,"chair=1.00, cabinet=0.05, desk=0.04",0.534,5
table,4,253,8.5,"sofa=1.00, chair=0.49, pillow=0.19",0.534,5
table,5,179,6.0,"chair=1.00, shelf=1.00, box=0.15",0.534,5
door,1,13,12.0,"box=1.00, cabinet=0.31, book=0.08",0.423,5
door,2,61,56.5,"shelf=0.13, picture=0.08, mirror=0.08",0.423,5
door,3,9,8.3,"sofa=1.00, pillow=0.56, chair=0.33",0.423,5
door,4,11,10.2,"chair=1.00, table=1.00, cabinet=0.09",0.423,5
door,5,14,13.0,"chair=1.00, desk=0.43, shelf=0.14",0.423,5
cabinet,1,81,14.4,"desk=1.00, chair=0.93, monitor=0.26",0.314,5
cabinet,2,252,44.8,"box=0.16, table=0.12, shelf=0.10",0.314,5
cabinet,3,105,18.7,"chair=1.00, table=1.00, shelf=0.12",0.314,5
cabinet,4,78,13.9,"chair=1.00, shelf=0.09, counter=0.06",0.314,5
cabinet,5,47,8.3,"pillow=1.00, lamp=0.49, picture=0.11",0.314,5
shelf,1,53,6.6,"bed=1.00, pillow=0.62, lamp=0.25",0.258,5
shelf,2,273,34.2,"chair=1.00, table=0.70, box=0.13",0.258,5
shelf,3,129,16.1,"desk=1.00, chair=0.98, monitor=0.44",0.258,5
shelf,4,237,29.7,"sofa=0.10, book=0.09, desk=0.08",0.258,5
