focal_class,k,silhouette_score
chair,2,0.4603
chair,3,0.5233
chair,4,0.5426
chair,5,0.5849
chair,6,0.6029
chair,7,0.6356
chair,8,0.6572
chair,9,0.6622
chair,10,0.6902
table,2,0.5683
table,3,0.613
table,4,0.6541
table,5,0.6845
table,6,0.711
table,7,0.7387
table,8,0.7517
table,9,0.7752
table,10,0.7975
door,2,0.501
door,3,0.5699
door,4,0.6346
door,5,0.6974
door,6,0.7396
door,7,0.7658
door,8,0.7986
door,9,0.8092
door,10,0.8268
cabinet,2,0.4251
cabinet,3,0.4879
cabinet,4,0.5307
cabinet,5,0.5633
cabinet,6,0.6001
cabinet,7,0.6199
cabinet,8,0.6454
cabinet,9,0.6723
cabinet,10,0.683
shelf,2,0.4156
shelf,3,0.4838
shelf,4,0.5589
shelf,5,0.6011
shelf,6,0.637
shelf,7,0.665
shelf,8,0.6876
shelf,9,0.7153
shelf,10,0.7384
desk,2,0.5311
desk,3,0.6276
desk,4,0.6777
desk,5,0.7214
desk,6,0.7485
desk,7,0.7737
desk,8,0.7933
desk,9,0.8093
desk,10,0.8283
box,2,0.2697
box,3,0.3024
box,4,0.323
box,5,0.3341
box,6,0.3362
box,7,0.3774
box,8,0.4132
box,9,0.4283
box,10,0.4472
picture,2,0.2169
picture,3,0.2396
picture,4,0.2395
picture,5,0.2455
picture,6,0.251
picture,7,0.2439
picture,8,0.255
picture,9,0.2633
picture,10,0.2767
book,2,0.1937
book,3,0.1804
book,4,0.1732
book,5,0.1927
book,6,0.1879
book,7,0.2237
book,8,0.2298
book,9,0.2324
book,10,0.2419
paper,2,0.264
paper,3,0.2911
paper,4,0.2919
paper,5,0.3206
paper,6,0.3284
paper,7,0.3447
paper,8,0.3649
paper,9,0.3816
paper,10,0.3771
lamp,2,0.3416
lamp,3,0.4039
lamp,4,0.4348
lamp,5,0.4928
lamp,6,0.5188
lamp,7,0.5484
lamp,8,0.5782
lamp,9,0.6021
lamp,10,0.6304
sofa,2,0.4128
sofa,3,0.4769
sofa,4,0.5635
sofa,5,0.6677
sofa,6,0.7142
sofa,7,0.7552
sofa,8,0.7925
sofa,9,0.8106
sofa,10,0.8359
pillow,2,0.4611
pillow,3,0.5324
pillow,4,0.5706
pillow,5,0.6507
pillow,6,0.6889
pillow,7,0.7153
pillow,8,0.7407
pillow,9,0.7578
pillow,10,0.7784
bed,2,0.5899
bed,3,0.6776
bed,4,0.8132
bed,5,0.8462
bed,6,0.8707
bed,7,0.8946
bed,8,0.9169
bed,9,0.931
bed,10,0.9432
monitor,2,0.4897
monitor,3,0.6026
monitor,4,0.6777
monitor,5,0.748
monitor,6,0.7915
monitor,7,0.8232
monitor,8,0.8565
monitor,9,0.8763
monitor,10,0.8948
curtain,2,0.6147
curtain,3,0.6915
curtain,4,0.7491
curtain,5,0.8783
curtain,6,0.9291
curtain,7,0.9725
curtain,8,1.0
curtain,9,1.0
curtain,10,1.0
bottle,2,0.5883
bottle,3,0.6397
bottle,4,0.6623
bottle,5,0.7096
bottle,6,0.7683
bottle,7,0.805
bottle,8,0.8337
bottle,9,0.8596
bottle,10,0.8652
bag,2,0.5602
bag,3,0.6812
bag,4,0.7502
bag,5,0.8
bag,6,0.829
bag,7,0.8606
bag,8,0.8727
bag,9,0.8966
bag,10,0.9186
mirror,2,0.767
mirror,3,0.8274
mirror,4,0.8809
mirror,5,0.9452
mirror,6,0.975
mirror,7,1.0
mirror,8,1.0
mirror,9,1.0
mirror,10,1.0
counter,2,0.9746
counter,3,0.9915
counter,4,0.995
counter,5,0.995
counter,6,0.995
counter,7,0.995
counter,8,0.995
counter,9,0.995
counter,10,0.995
keyboard,2,0.5528
keyboard,3,0.7299
keyboard,4,0.8734
keyboard,5,0.9295
keyboard,6,0.958
keyboard,7,0.9813
keyboard,8,1.0
keyboard,9,1.0
keyboard,10,1.0
cup,2,0.8014
cup,3,0.8781
cup,4,0.968
cup,5,1.0
cup,6,1.0
cup,7,1.0
cup,8,1.0
cup,9,1.0
cup,10,1.0
