focal_class,scene,cluster
chair,0000001-000000000000,0
chair,0000001-000000001587,1
chair,0000001-000000020293,0
chair,0000001-000000034188,0
chair,0000002-000000033516,0
chair,0000003-000000067032,6
chair,0000003-000000079122,2
chair,0000003-000000097687,0
chair,0000003-000000100548,2
chair,0000003-000000103147,0
chair,0000003-000000110532,0
chair,0000003-000000134064,4
chair,0000004-000000100548,6
chair,0000004-000000100666,8
chair,0000004-000000107338,1
chair,0000004-000000110172,0
chair,0000004-000000110834,1
chair,0000004-000000115054,0
chair,0000004-000000116061,1
chair,0000004-000000118008,0
chair,0000004-000000118714,1
chair,0000004-000000120323,5
chair,0000004-000000124122,7
chair,0000004-000000124850,0
chair,0000004-000000128425,0
chair,0000004-000000130813,1
chair,0000004-000000152206,0
chair,0000004-000000175961,2
chair,0000005-000000134064,3
chair,0000005-000000136609,1
chair,0000005-000000161970,0
chair,0000005-000000165390,1
chair,0000005-000000167580,1
chair,0000005-000000178186,0
chair,0000005-000000186849,2
chair,0000005-000000201096,0
chair,0000005-000000203603,0
chair,0000005-000000215496,0
chair,0000005-000000218789,4
chair,0000005-000000231823,3
chair,0000005-000000234612,0
chair,0000006-000000167580,6
chair,0000006-000000240510,1
chair,0000006-000000270274,6
chair,0000006-000831664978,8
chair,0000007-000000234211,5
chair,0000007-000000234612,6
chair,0000007-000000242493,6
chair,0000007-000000280635,7
chair,0000007-000000301644,0
chair,0000007-000000402192,1
chair,0000008-000000234612,0
chair,0000008-000000257917,0
chair,0000008-000000304672,1
chair,0000008-000000324721,0
chair,0000009-000000302184,2
chair,0000010-000000301644,2
chair,0000010-000000325312,0
chair,0000010-000000374803,2
chair,0000012-000000402192,4
chair,0000012-000000493167,7
chair,0000012-000000512921,1
chair,0000012-000092380997,4
chair,0000013-000000406487,0
chair,0000016-000000648039,2
chair,0000017-000000536256,0
chair,0000019-000000745897,2
chair,0000020-000000800108,6
chair,0000021-000000670320,0
chair,0000021-000117317001,4
chair,0000022-000000804384,0
chair,0000023-000000742252,1
chair,0000028-000000904932,5
chair,0000036-000001173060,0
chair,0000036-000001206576,0
chair,0000045-000001608768,0
chair,0000049-000001740042,4
chair,0000049-000103632004,8
chair,0000049-000433799011,1
