focal_class,cluster,n_scenes,pct_of_class,top_co_classes,silhouette,k
chair,1,902,20.4,"desk=1.00, table=0.11, shelf=0.10",0.585,5
chair,2,2027,45.9,"table=1.00, shelf=0.08, monitor=0.05",0.585,5
chair,3,250,5.7,"monitor=1.00, desk=0.99, shelf=0.22",0.585,5
chair,4,255,5.8,"sofa=1.00, table=0.58, shelf=0.13",0.585,5
chair,5,982,22.2,"cabinet=0.07, shelf=0.07, box=0.04",0.585,5
table,1,1884,63.0,"chair=1.00, box=0.04, paper=0.03",0.684,5
table,2,135,4.5,"cabinet=1.00, chair=0.80, shelf=0.16",0.684,5
table,3,239,8.0,"shelf=1.00, chair=0.76, box=0.19",0.684,5
table,4,477,16.0,"box=0.08, lamp=0.05, book=0.05",0.684,5
table,5,254,8.5,"sofa=1.00, chair=0.50, lamp=0.10",0.684,5
door,1,56,51.9,"cabinet=0.05, picture=0.05, chair=0.00",0.697,5
door,2,13,12.0,"table=1.00, chair=0.85, cabinet=0.08",0.697,5
door,3,15,13.9,"chair=1.00, cabinet=0.13, shelf=0.07",0.697,5
door,4,14,13.0,"box=1.00, cabinet=0.29, chair=0.07",0.697,5
door,5,10,9.3,"shelf=1.00, picture=0.20, chair=0.10",0.697,5
cabinet,1,41,7.3,"shelf=1.00, chair=0.39, table=0.10",0.563,5
cabinet,2,133,23.6,"chair=1.00, box=0.06, counter=0.05",0.563,5
cabinet,3,129,22.9,"table=1.00, chair=0.84, shelf=0.13",0.563,5
cabinet,4,217,38.5,"picture=0.05, counter=0.05, paper=0.04",0.563,5
cabinet,5,43,7.6,"box=1.00, table=0.19, bottle=0.16",0.563,5
shelf,1,70,8.8,"table=1.00, box=0.27, book=0.11",0.601,5
shelf,2,197,24.7,"chair=1.00, table=1.00, box=0.14",0.601,5
shelf,3,279,34.9,"book=0.08, cabinet=0.08, picture=0.05",0.601,5
shelf,4,183,22.9,"chair=1.00, book=0.09, cabinet=0.08",0.601,5
shelf,5,70,8.8,"box=1.00, chair=0.41, book=0.10",0.601,5
desk,1,785,56.7,"chair=1.00, book=0.03, paper=0.02",0.721,5
desk,2,179,12.9,"chair=1.00, monitor=1.00, box=0.14",0.721,5
desk,3,135,9.8,"keyboard=1.00, chair=0.90, monitor=0.61",0.721,5
desk,4,72,5.2,"box=1.00, chair=0.99, keyboard=0.21",0.721,5
desk,5,213,15.4,"book=0.13, keyboard=0.11, box=0.11",0.721,5
box,1,117,23.3,"desk=1.00, chair=0.86, shelf=0.23",0.334,5
box,2,69,13.7,"table=1.00, shelf=0.28, book=0.16",0.334,5
box,3,50,9.9,"shelf=1.00, chair=0.18, cabinet=0.10",0.334,5
box,4,176,35.0,"chair=0.20, cabinet=0.16, door=0.07",0.334,5
box,5,91,18.1,"chair=1.00, table=1.00, shelf=0.23",0.334,5
picture,1,36,20.0,"bed=0.94, lamp=0.72, pillow=0.64",0.246,5
picture,2,40,22.2,"table=1.00, chair=0.72, lamp=0.17",0.246,5
picture,3,26,14.4,"chair=1.00, box=0.23, lamp=0.19",0.246,5
picture,4,32,17.8,"sofa=0.97, pillow=0.84, table=0.50",0.246,5
picture,5,46,25.6,"shelf=0.22, paper=0.13, cabinet=0.11",0.246,5
book,1,87,38.0,"desk=1.00, chair=0.68, shelf=0.25",0.194,2
book,2,142,62.0,"table=0.54, chair=0.40, shelf=0.35",0.194,2
paper,1,56,27.2,"cabinet=0.21, box=0.12, picture=0.07",0.321,5
paper,2,39,18.9,"desk=1.00, chair=0.62, keyboard=0.23",0.321,5
paper,3,26,12.6,"table=1.00, box=0.23, book=0.15",0.321,5
paper,4,15,7.3,"chair=0.93, table=0.93, box=0.87",0.321,5
paper,5,70,34.0,"chair=1.00, table=0.94, monitor=0.09",0.321,5
lamp,1,191,34.4,"pillow=1.00, bed=0.96, mirror=0.11",0.493,5
lamp,2,99,17.8,"picture=0.10, book=0.07, curtain=0.06",0.493,5
lamp,3,89,16.0,"bed=1.00, table=0.13, picture=0.12",0.493,5
lamp,4,84,15.1,"sofa=1.00, pillow=0.67, table=0.20",0.493,5
lamp,5,93,16.7,"table=1.00, sofa=0.15, book=0.11",0.493,5
sofa,1,285,35.8,"lamp=0.07, picture=0.01, window=0.00",0.668,5
sofa,2,149,18.7,"chair=1.00, table=1.00, pillow=0.19",0.668,5
sofa,3,122,15.3,"table=1.00, pillow=0.15, picture=0.07",0.668,5
sofa,4,124,15.6,"chair=1.00, pillow=0.15, lamp=0.08",0.668,5
sofa,5,115,14.5,"pillow=1.00, lamp=0.43, picture=0.14",0.668,5
pillow,1,61,10.6,"lamp=1.00, sofa=0.93, picture=0.28",0.651,5
pillow,2,192,33.2,"lamp=1.00, bed=0.95, mirror=0.10",0.651,5
pillow,3,120,20.8,"sofa=1.00, curtain=0.12, picture=0.11",0.651,5
pillow,4,155,26.8,"bed=1.00, curtain=0.06, picture=0.05",0.651,5
pillow,5,50,8.7,"picture=0.04, curtain=0.02, mirror=0.02",0.651,5
bed,1,29,3.4,"curtain=1.00, pillow=0.34, picture=0.03",0.846,5
bed,2,396,46.7,"mirror=0.01, picture=0.01, lamp=0.00",0.846,5
bed,3,89,10.5,"lamp=1.00, picture=0.12, curtain=0.06",0.846,5
bed,4,185,21.8,"lamp=1.00, pillow=1.00, mirror=0.11",0.846,5
bed,5,149,17.6,"pillow=1.00, picture=0.05, lamp=0.00",0.846,5
monitor,1,93,21.1,"chair=1.00, paper=0.04, book=0.03",0.748,5
monitor,2,179,40.7,"chair=1.00, desk=1.00, book=0.06",0.748,5
monitor,3,82,18.6,"desk=1.00, keyboard=1.00, chair=0.83",0.748,5
monitor,4,36,8.2,"keyboard=1.00, chair=0.78, book=0.11",0.748,5
monitor,5,50,11.4,"desk=0.26, book=0.08, chair=0.00",0.748,5
curtain,1,15,8.2,"pillow=1.00, lamp=0.00, bed=0.00",0.878,5
curtain,2,105,57.7,"lamp=0.00, pillow=0.00, bed=0.00",0.878,5
curtain,3,23,12.6,"pillow=1.00, bed=0.87, lamp=0.57",0.878,5
