split,stage,scene,classes_present
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0076,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0077,window|door|cabinet|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0091,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0093,chair|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0118,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0127,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0137,window|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0143,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0152,chair|window|desk|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0155,window|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0165,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0170,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0171,cabinet|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0179,table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0181,table|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0185,shelf|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0189,cabinet|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0192,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0193,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0199,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0202,table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0229,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0247,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0248,chair|table
