stage,scene_type,scene,classes_present
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0294,pillow|bed
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0450,
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0458,
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0779,lamp|bottle
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0065,bed
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0074,pillow|bed|curtain
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0075,curtain
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0076,picture|lamp|pillow|bed|bottle
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0079,picture|lamp|pillow|bed|bottle
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0180,pillow|bed
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0183,picture|pillow|bed
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0190,picture|lamp|pillow|bed
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0218,picture|bed|bottle
