stage,scene_type,scene,classes_present
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-15-08_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-15-49_260595134347,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-16-01_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-21-16_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-22-04_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-22-15_260595134347,chair|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-25-13_260595134347,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-25-58_260595134347,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-26-24_260595134347,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-26-38_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-27-23_260595134347,table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-27-40_260595134347,
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-27-54_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-28-20_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-28-37_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-28-50_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-29-07_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-29-51_260595134347,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-30-10_260595134347,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-30-24_260595134347,table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_16-30-39_260595134347,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000469_2014-06-09_19-42-10_260595134347_rgbf000081-resize,chair
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000472_2014-06-09_19-45-12_260595134347_rgbf000076-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000473_2014-06-09_19-45-40_260595134347_rgbf000085-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000477_2014-06-09_20-37-26_260595134347_rgbf000111-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000478_2014-06-09_20-38-54_260595134347_rgbf000130-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000484_2014-06-09_20-46-30_260595134347_rgbf000143-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000487_2014-06-09_20-47-43_260595134347_rgbf000173-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000492_2014-06-09_21-00-52_260595134347_rgbf000155-resize,table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000494_2014-06-09_21-02-17_260595134347_rgbf000199-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000513_2014-06-09_15-47-17_260595134347_rgbf000131-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000855_2014-06-09_19-44-33_260595134347_rgbf000115-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000857_2014-06-09_19-46-52_260595134347_rgbf000070-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000860_2014-06-09_20-30-52_260595134347_rgbf000115-resize,chair
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000861_2014-06-09_20-37-56_260595134347_rgbf000099-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000862_2014-06-09_20-38-30_260595134347_rgbf000147-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000865_2014-06-09_20-45-08_260595134347_rgbf000137-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000867_2014-06-09_20-46-07_260595134347_rgbf000128-resize,table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000868_2014-06-09_20-49-52_260595134347_rgbf000064-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000870_2014-06-09_20-50-37_260595134347_rgbf000044-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000871_2014-06-09_20-50-55_260595134347_rgbf000085-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000872_2014-06-09_20-51-10_260595134347_rgbf000119-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000873_2014-06-09_20-51-31_260595134347_rgbf000092-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000874_2014-06-09_20-52-10_260595134347_rgbf000049-resize,chair|table|counter
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000875_2014-06-09_20-52-41_260595134347_rgbf000100-resize,chair
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000876_2014-06-09_21-01-50_260595134347_rgbf000179-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000877_2014-06-09_21-02-47_260595134347_rgbf000098-resize,table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000913_2014-06-08_18-44-31_260595134347_rgbf000118-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001185_2014-06-17_15-53-11_260595134347_rgbf000098-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001425_2014-06-19_16-45-40_260595134347_rgbf000051-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001541_2014-06-20_17-01-45_260595134347_rgbf000075-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001543_2014-06-20_17-02-15_260595134347_rgbf000080-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001544_2014-06-20_17-02-35_260595134347_rgbf000045-resize,chair|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001547_2014-06-20_17-04-08_260595134347_rgbf000083-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001548_2014-06-20_17-04-20_260595134347_rgbf000051-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001549_2014-06-20_17-04-59_260595134347_rgbf000073-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001550_2014-06-20_17-05-15_260595134347_rgbf000052-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001551_2014-06-20_17-05-49_260595134347_rgbf000060-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001593_2014-06-20_11-13-04_260595134347_rgbf000102-resize,chair|table|window
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002068_2014-06-24_21-43-31_260595134347_rgbf000024-resize,chair
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002099_2014-06-25_19-54-40_260595134347_rgbf000081-resize,chair|table
Stage 1 – Dining Area,dining_area,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002121_2014-06-25_20-34-28_260595134347_rgbf000112-resize,table
