scene,scene_type
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0063,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0064,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0065,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0066,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0067,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0068,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0069,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0070,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0071,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0072,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0073,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0074,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0075,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0076,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0077,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0078,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0079,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0080,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0081,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0082,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0083,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0084,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0085,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0086,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0087,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0088,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0089,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0090,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0091,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0092,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0093,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0094,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0095,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0096,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0097,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0098,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0099,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0100,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0101,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0102,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0103,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0104,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0105,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0106,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0107,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0108,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0109,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0110,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0111,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0112,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0113,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0114,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0115,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0116,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0117,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0118,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0119,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0120,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0121,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0122,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0123,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0124,office
