class,assigned_stage_type,global_id
chair,classroom,0
table,classroom,1
whiteboard,classroom,2
toilet,bathroom,3
sink,bathroom,4
bathtub,bathroom,5
towel,bathroom,6
garbage_bin,bathroom,7
mirror,bathroom,8
bed,bedroom,9
pillow,bedroom,10
lamp,bedroom,11
night_stand,bedroom,12
dresser,bedroom,13
computer,office,14
desk,office,15
keyboard,office,16
box,office,17
shelf,office,18
mouse,office,19
printer,office,20
book,office,21
monitor,office,22
paper,office,23
fridge,kitchen,24
sofa,living_room,25
coffee_table,living_room,26
tv,living_room,27
drawer,living_room,28
cabinet,living_room,29
painting,living_room,30
laptop,living_room,31
