stage,scene_type,class,global_id,assign_nsc,postfilter_nsc,below_floor
1,classroom,chair,0,474,343,False
1,classroom,table,1,236,178,False
1,classroom,whiteboard,2,69,53,False
2,bathroom,toilet,3,167,159,False
2,bathroom,sink,4,120,113,False
2,bathroom,bathtub,5,66,60,False
2,bathroom,towel,6,52,45,False
2,bathroom,garbage_bin,7,47,42,False
2,bathroom,mirror,8,26,25,False
3,bedroom,bed,9,341,180,False
3,bedroom,pillow,10,172,92,False
3,bedroom,lamp,11,141,64,False
3,bedroom,night_stand,12,134,89,False
3,bedroom,dresser,13,63,27,False
4,office,computer,14,240,177,False
4,office,desk,15,215,165,False
4,office,keyboard,16,102,79,False
4,office,box,17,83,53,False
4,office,shelf,18,54,38,False
4,office,mouse,19,46,36,False
4,office,printer,20,41,32,False
4,office,book,21,38,28,False
4,office,monitor,22,35,27,False
4,office,paper,23,29,21,False
5,kitchen,fridge,24,40,32,False
6,living_room,sofa,25,157,157,False
6,living_room,coffee_table,26,62,62,False
6,living_room,tv,27,60,60,False
6,living_room,drawer,28,31,31,False
6,living_room,cabinet,29,29,29,False
6,living_room,painting,30,28,28,False
6,living_room,laptop,31,21,21,False
