class,lift_bedroom,lift_office,lift_classroom,nsc_bedroom,nsc_office,nsc_classroom,best,n_best
bathtub,0.0,0.0,0.0,0,0,0,bedroom,0
bed,5.1925,0.0,0.0,341,0,0,bedroom,341
bench,0.5214,0.1773,0.0,6,2,0,bedroom,6
book,1.1275,4.3708,0.0,10,38,0,office,38
bookshelf,1.3875,1.0462,0.1976,23,17,3,bedroom,23
bottle,1.1431,2.8319,0.7133,7,17,4,office,17
bowl,0.0,0.9058,0.3232,0,3,1,office,3
box,1.6155,2.682,0.5189,51,83,15,office,83
cabinet,0.9758,0.8491,0.5955,34,29,19,bedroom,34
chair,0.5301,1.2763,2.0174,136,321,474,classroom,474
coffee_table,0.1904,0.1457,0.0,4,3,0,bedroom,4
computer,0.1144,5.601,0.4747,5,240,19,office,240
cup,0.4241,3.8936,0.1544,3,27,1,office,27
curtain,4.8043,0.14,0.8993,35,1,6,bedroom,35
desk,0.8836,3.3998,1.3372,57,215,79,office,215
dining_table,0.0,0.2928,0.0,0,1,0,office,1
door,2.3678,1.256,0.3103,25,13,3,bedroom,25
drawer,2.2331,2.3565,0.042,58,60,1,office,60
dresser,4.0591,0.1315,0.0,63,2,0,bedroom,63
fridge,0.2339,0.5964,0.1277,2,5,1,office,5
garbage_bin,0.8849,1.1223,0.5485,37,46,21,office,46
keyboard,0.0631,6.57,0.0,1,102,0,office,102
lamp,3.4508,0.3495,0.0802,141,14,3,bedroom,141
laptop,1.6472,2.7305,0.4497,16,26,4,office,26
mirror,2.6128,0.0,0.1189,24,0,1,bedroom,24
monitor,0.1141,4.0742,0.2492,1,35,2,office,35
mouse,0.1662,7.7972,0.0,1,46,0,office,46
night_stand,4.9384,0.0376,0.0,134,1,0,bedroom,134
oven,0.0,0.0,0.0,0,0,0,bedroom,0
painting,1.4778,0.2056,0.0,22,3,0,bedroom,22
paper,2.0551,2.6433,0.7806,23,29,8,office,29
pillow,3.1449,0.0187,0.0,172,1,0,bedroom,172
plant,0.8914,0.4547,0.0,8,4,0,bedroom,8
printer,0.2759,3.846,0.1004,3,41,1,office,41
rack,0.3643,2.6013,2.1878,2,14,11,office,14
shelf,0.9507,1.9395,0.6536,27,54,17,office,54
side_table,1.5786,4.8309,0.8619,2,6,1,office,6
sink,0.0981,0.0,0.0,2,0,0,bedroom,2
sofa,0.8134,0.1965,0.0467,76,18,4,bedroom,76
stool,0.2015,1.5418,0.4401,2,15,4,office,15
table,0.3838,1.0998,1.4546,68,191,236,classroom,236
telephone,2.8593,3.8283,0.0,16,21,0,office,21
toilet,0.0564,0.0,0.0,1,0,0,bedroom,1
towel,0.975,0.0,0.0,7,0,0,bedroom,7
tv,3.2277,0.2159,0.1156,61,4,2,bedroom,61
whiteboard,0.0,1.4378,4.2478,0,25,69,classroom,69
