class,lift_office,lift_bedroom,lift_living_room,lift_bathroom,lift_classroom,lift_kitchen,nsc_office,nsc_bedroom,nsc_living_room,nsc_bathroom,nsc_classroom,nsc_kitchen,best,n_best
bathtub,0.0,0.0,0.0,15.7285,0.0,0.0,0,0,0,66,0,0,bathroom,66
bed,0.0,5.1925,0.124,0.0513,0.0,0.0366,0,341,4,2,0,1,bedroom,341
bench,0.1773,0.5214,0.8848,0.293,0.0,0.0,2,6,5,2,0,0,living_room,5
book,4.3708,1.1275,2.2962,0.0,0.0,0.0,38,10,10,0,0,0,office,38
bookshelf,1.0462,1.3875,1.1057,0.1017,0.1976,0.1451,17,23,9,1,3,1,bedroom,23
bottle,2.8319,1.1431,0.3326,0.5506,0.7133,6.6769,17,7,1,2,4,17,kitchen,17
bowl,0.9058,0.0,2.411,0.0,0.3232,9.2544,3,0,4,0,1,13,kitchen,13
box,2.682,1.6155,1.2902,0.1068,0.5189,1.3714,83,51,20,2,15,18,office,83
cabinet,0.8491,0.9758,1.695,0.3387,0.5955,1.2426,29,34,29,7,19,18,living_room,29
chair,1.2763,0.5301,0.889,0.046,2.0174,0.3375,321,136,112,7,474,36,classroom,474
coffee_table,0.1457,0.1904,6.0094,0.0,0.0,0.0,3,4,62,0,0,0,living_room,62
computer,5.601,0.1144,0.0466,0.0,0.4747,0.0,240,5,1,0,19,0,office,240
cup,3.8936,0.4241,1.4394,1.1915,0.1544,3.06,27,3,5,5,1,9,office,27
curtain,0.14,4.8043,1.6772,0.9256,0.8993,0.0,1,35,6,4,6,0,bedroom,35
desk,3.3998,0.8836,0.5998,0.0261,1.3372,0.1491,215,57,19,1,79,4,office,215
dining_table,0.2928,0.0,0.5845,0.0,0.0,0.0,1,0,1,0,0,0,living_room,1
door,1.256,2.3678,2.5075,2.2353,0.3103,1.139,13,25,13,14,3,5,living_room,13
drawer,2.3565,2.2331,2.4306,0.2596,0.042,0.3704,60,58,31,4,1,4,living_room,31
dresser,0.1315,4.0591,0.0,0.0,0.0,0.0,2,63,0,0,0,0,bedroom,63
fridge,0.5964,0.2339,0.9525,0.1971,0.1277,11.2495,5,2,4,1,1,40,kitchen,40
garbage_bin,1.1223,0.8849,0.6819,1.895,0.5485,1.2656,46,37,14,47,21,22,bathroom,47
keyboard,6.57,0.0631,0.0,0.0,0.0,0.0,102,1,0,0,0,0,office,102
lamp,0.3495,3.4508,2.1431,0.0413,0.0802,0.0,14,141,43,1,3,0,bedroom,141
laptop,2.7305,1.6472,4.4028,0.0,0.4497,0.0,26,16,21,0,4,0,living_room,21
mirror,0.0,2.6128,0.6651,4.7717,0.1189,0.0,0,24,3,26,1,0,bathroom,26
monitor,4.0742,0.1141,0.2324,0.0,0.2492,1.9212,35,1,1,0,2,7,office,35
mouse,7.7972,0.1662,0.0,0.0,0.0,0.0,46,1,0,0,0,0,office,46
night_stand,0.0376,4.9384,0.2252,0.0,0.0,0.0,1,134,3,0,0,0,bedroom,134
oven,0.0,0.0,0.0,0.0,0.0,18.9835,0,0,0,0,0,10,kitchen,10
painting,0.2056,1.4778,3.8303,0.1132,0.0,0.4847,3,22,28,1,0,3,living_room,28
paper,2.6433,2.0551,1.0918,0.3013,0.7806,0.2149,29,23,6,2,8,1,office,29
pillow,0.0187,3.1449,2.9417,0.0616,0.0,0.0,1,172,79,2,0,0,bedroom,172
plant,0.4547,0.8914,2.95,0.1878,0.0,0.804,4,8,13,1,0,3,living_room,13
printer,3.846,0.2759,0.1873,0.0,0.1004,0.2212,41,3,1,0,1,1,office,41
rack,2.6013,0.3643,0.7419,0.6141,2.1878,0.0,14,2,2,2,11,0,office,14
shelf,1.9395,0.9507,1.3624,0.2968,0.6536,0.5928,54,27,19,5,17,7,office,54
side_table,4.8309,1.5786,3.2147,0.0,0.8619,0.0,6,2,2,0,1,0,office,6
sink,0.0,0.0981,0.0999,9.9275,0.0,4.9573,0,2,1,120,0,42,bathroom,120
sofa,0.1965,0.8134,3.4218,0.0361,0.0467,0.0,18,76,157,2,4,0,living_room,157
stool,1.5418,0.2015,1.8468,0.3397,0.4401,1.2117,15,2,9,2,4,5,living_room,9
table,1.0998,0.3838,0.9886,0.0285,1.4546,0.3258,191,68,86,3,236,24,classroom,236
telephone,3.8283,2.8593,0.7279,0.0,0.0,0.0,21,16,2,0,0,0,office,21
toilet,0.0,0.0564,0.0,15.8717,0.0,0.0,0,1,0,167,0,0,bathroom,167
towel,0.0,0.975,0.5673,12.2099,0.0,0.67,0,7,2,52,0,2,bathroom,52
tv,0.2159,3.2277,6.4654,0.0,0.1156,0.5091,4,61,60,0,2,4,living_room,60
whiteboard,1.4378,0.0,0.0,0.0,4.2478,0.0,25,0,0,0,69,0,classroom,69
