stage,scene_type,scene,classes_present,split
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0294,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0450,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0458,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0779,lamp|bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0065,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0074,pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0075,curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0076,picture|lamp|pillow|bed|bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0079,picture|lamp|pillow|bed|bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0180,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0183,picture|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0190,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0218,picture|bed|bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0283,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0522,pillow|bed|bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0526,picture|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0534,lamp|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0914,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0940,lamp|pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0944,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0960,lamp|bed|curtain|mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0968,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0969,picture|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0976,picture|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0996,lamp|pillow|bed|bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1007,picture|lamp|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1013,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1033,lamp|pillow|bed|bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1042,picture|lamp|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1057,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1070,picture|lamp|pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1078,picture|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1120,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1131,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1133,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1135,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1136,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1139,picture|lamp|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1163,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1164,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1174,picture|lamp|pillow|bed|curtain,SceneType-3stage
